Star Name,Right Ascension (HH.MM.SS),Declination (DD.SS)
Acamar,02.58.15,-40.18000461766993
Achernar,01.37.42,-57.14000498588086
Acrab,16.05.26,-19.479996125300346
Acrux,12.26.35,-63.049995195993056
Adhara,06.58.37,-28.58000066460262
Aldebaran,04.35.55,16.299996576363924
Alderamin,21.18.34,62.34999770914478
Algieba,10.19.58,19.500003382416754
Algol,03.08.10,40.569995468382764
Alhena,06.37.42,16.23999888749461
Alioth,12.54.01,55.57000493048557
Alkaid,13.47.32,49.18000497339084
Almach,02.03.53,42.189995067621915
Alnilam,05.36.12,-1.1200023622210287
Alnitak,05.40.45,-1.5600022745139406
Alphard,09.27.35,-8.389997536586245
Alphecca,15.34.41,26.420004260339827
Alpheratz,00.08.23,29.0499953179908
Altair,19.50.46,8.519999531975351
Aludra,07.24.05,-29.18000011216887
Ankaa,00.26.17,-42.18000480223939
Antares,16.29.24,-26.2499964745657
Arcturus,14.15.39,19.100004887317745
Arneb,05.32.43,-17.49000242873927
Ascella,19.02.36,-29.519999421437056
Aspidiske,09.17.05,-59.15999773787936
Atria,16.48.39,-69.00999678318435
Avior,08.22.30,-59.299998850865926
Bellatrix,05.25.07,6.199997428098036
Beta Hydri,00.25.45,-77.15000479907712
Beta cdPhoenicis,01.06.05,-46.43000496384461
Betelgeuse,05.55.10,7.239998009138793
Canopus,06.23.57,-51.410001402127484
Capella,05.16.41,45.589997272554534
Caph,00.09.10,59.079995312125995
Castor,07.34.35,31.5300001163944
Cebalrai,17.43.28,4.340002221717053
Celaeno,03.44.48,24.169995858393715
Chara,12.33.43,41.21000484359921
Cor-Caroli,12.56.01,38.19000493696235
Cursa,05.07.51,-5.050002886403487
Delta Crucis,12.15.08,-58.43999526925641
Deneb,20.41.25,45.15999845449179
Denebola,11.49.03,14.340004520110666
Diphda,00.43.35,-17.5900048906222
Dschubba,16.00.20,-22.369996056320197
Dubhe,11.03.43,61.45000401688126
Elnath,04.36.28,28.359996585083422
Eltanin,17.56.36,51.290001962210376
Enif,21.44.11,9.519997229061083
Formalhaut,22.57.38,-29.370003936924476
Gacrux,12.31.09,-57.05999517010802
Gamma Phoenicis,01.28.21,-43.19000498924543
Gienah,12.15.48,-17.31999526466524
Hadar,14.03.49,-60.21999506740357
Hamal,02.07.10,23.269995078892332
Kochab,14.50.42,74.09000467739786
Kornephoros,16.30.13,21.290003512831408
Lesath,17.20.45,-37.16999734711158
Markab,23.04.45,15.119995969816655
Megrez,12.15.25,57.010004732699606
Meissa,05.35.08,-9.560002382648921
Menkalinan,05.59.31,44.569998096325264
Menkar,03.02.16,4.049995416152131
Menkent,14.06.40,-36.21999507711076
Merak,11.01.50,56.22000399242739
Miaplacidus,09.13.12,-69.42999781355118
Mimosa,12.47.43,-59.40999509236798
Mintaka,05.32.00,-0.18000244235584084
Mirach,01.09.43,35.369995028802265
Mirfak,03.24.19,49.509995626604464
Mirzam,06.22.41,-17.57000142857014
Mizar,13.23.55,54.550004987938784
Muphrid,13.54.41,18.230004958559146
Naos,08.03.35,-39.9999992550649
Navi,00.56.42,60.42999506091074
Nunki,18.55.15,-26.169999262832835
Peacock,20.25.38,-56.44000121540231
Phact,05.39.38,-34.040002296123276
Phecda,11.53.49,53.41000456306127
Polaris,02.31.49,89.14999519556625
Pollux,07.45.18,28.010000349418956
Procyon,07.39.18,5.130000219015694
Rasalhague,17.34.56,12.330002386473412
Rastaban,17.30.25,52.18000247235355
Regulus,10.08.22,11.580003192524147
Rigel,05.14.32,-8.12000276651737
Ruchbah,01.25.49,60.139995011272504
Sabik,17.10.22,-15.429997158457969
Sadr,20.22.13,40.14999885686937
Saiph,05.47.45,-9.40000213784167
Sargas,17.37.19,-42.589997659219264
Scheat,23.03.46,28.039995982473094
Schedar,00.40.30,56.319995123102515
Segin,01.54.23,63.39999504072136
Seginus,14.32.04,38.1800048029621
Shaula,17.33.36,-37.05999758807644
Sheratan,01.54.38,20.479995041320272
Sirius,06.45.08,-16.42000095419944
Spica,13.25.11,-11.089995011497304
Suhail,09.07.59,-43.25999791618956
Tarazed,19.46.15,10.359999629953487
Unukalhai,15.44.16,6.2500041480692445
Vega,18.36.56,38.47000112876886
Wezen,07.08.23,-26.230000453338914
Zosma,11.14.06,20.31000414678824
Zubeneschamali,15.17.00,-9.219995552183766
