Common Name,Alternative Names,Right Ascension (HH.MM.SS),Declination (DD.SS),"Magnitude (V, Visual)",Proper Motion RA (mas/yr),Proper Motion DEC (mas/yr),Proper Motion Speed (mas/yr),Proper Motion Angle (DD.SS),URL
Alya,"Alya, θ¹-Ser, θ¹-Ser, Theta1 Serpentis Cauda, 63-Ser, 63 Serpentis Cauda, HR 7141, HD 175638, NSV 11557, HIP 92946, TYC 457-687-1, Gaia EDR3- 4281199284413726208",18.56.13,4.1213,4.58,,,56,56,https://in-the-sky.org/data/object.php?id=TYC457-687-1
Taika,"Taika, 2MASS, J22220308+4527265, Gaia DR2 196215385497 720 96, GSC 03607-01028, TYC 3607-1028-1",22.22.030875821831,45.2726515961773,3,8.962,-5.41,,,https://ja.wikipedia.org/wiki/HAT-P-40
Tegmine,"Tegmen, Tegmine, 16 Cancri, HR 3208/3209/3210, HD 68257/68255/68256, BD+18°1867, HIP 40167, SAO 97645/97646, GC 11142/11141, ADS 6650, CCDM J08123+1738, WDS 08122+1739",08.12.127,17.3852,5.58,118.325,-148.433,,,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=HR++3208
Nikawiy,"Nikawiy, HD 136418, TYC 3048-172-1, HIP 74961, BD+42 2587",15.19.0620,41.44011,7.88,-19.66,-181.92,,,https://www.universeguide.com/star/74961/nikawiy
Franz,"Franz, HAT-P-14, BD+38 2917",17.20.27886,38.1431802,3.2,2.35,-6.679,,,https://simbad.u-strasbg.fr/simbad/sim-basic?Ident=HAT-P-14&submit=SIMBAD+search
Montuno,"Montuno, WASP-79, 2MASS J04252901-3036016 b, TYC 7038-834-1 b, CD-30 1812 b, SAO 195000 b, GSC 7038-834 b, Gaia DR2 4884779765893739904 b, Montuno b",04.25.290168,-30.26016109,10.1,-0.222,2.615,,,"https://simbad.u-strasbg.fr/simbad/sim-id?protocol=html&Ident=WASP-79, https://openexoplanetcatalogue.com/planet/WASP-79%20b/"
Alkalurops,"Alkalurops, Inkalunis, Icalurus, Clava, Venabulum, μ Boo, 51 Boötis, FK5 568, ADS 9626, CCDM 15245+3722",15.24.2943147,37.22377613,4.31,-149.928,89.573,,,https://en.wikipedia.org/wiki/Mu_Bo%C3%B6tis
Revati,"Revati, Zeta Piscium, HD 7344, EPIC 220536030, TYC 613-1249-1, HIP 5737, HR 361, 86 Piscium, 86 Psc, BD+06 174",01.13.4380,7.34319,5.21,145,-55.69,,,https://www.universeguide.com/star/5737/zetapiscium
Alrescha,"Alrischa, Kaitain, Okda, Okdah, Syndesmos, α Psc, 113 Piscium, BD+02°317, FK5 28, HIP 9487, SAO 110291, WDS J02020+0246AB",02.02.0281972,2.4549541,3.82,32.45,0.04,,,https://en.wikipedia.org/wiki/Alpha_Piscium
Geminga,"Geminga, SN 437, PSR B0633+17, PSR J0633+1746",06.33.5415,17.46129,25.5,,,178.2,54,"https://www.researchgate.net/publication/231130533_Timing_the_Geminga_Pulsar_with_Gamma-Ray_Observations, https://www.tevcat.org/?mode=1&showsrc=317"
Funi,"Funi, HD 109246, TYC 4400-99-1, HIP 61177, BD+75 474",12.32.0756,74.29228,8.75,-170.69,-46.44,,,https://www.universeguide.com/star/61177/hd109246
Jabbah,"Jabbah, Nu Scorpii, Nu. Sco, Jabhah, HD 145502, EPIC 205088588, TYC 6209-1537-1, HIP 79374, HR 6027, 14 Scorpii, 14 Sco, BD -19 4333, 2MASS J16115974-1927381, IRAS 16090+1919",16.11.5974,-19.27383,4,7.65,-23.71,,,https://www.universeguide.com/star/79374/jabbah
Bunda,"Bunda, ξ Aqr, 23 Aqr, BD−08 5701, FK5 1569, HD 205767, HIP 106786, HR 8264, SAO 145537, WDS J21378-0751AB",21.37.45110,-7.511513,4.69,114.89,-24.434,,,https://en.wikipedia.org/wiki/Xi_Aquarii
