Common Name,Alternative Names,Right Ascension,Declination,Magnitude (Visual),"Proper Motion (Speed, mas/yr)","Proper Motion (Angle, Degrees)",URL
Sirius,"Sirius, α-CMa, Alpha Canis Majoris, 9-CMa, 9 Canis Majoris, HR 2491, HD 48915, HIP 32349",06.45.09,-16.4247,-1.44,1340.0,204.1,https://in-the-sky.org/data/object.php?id=HIP32349
Canopus,"Canopus, α-Car, Alpha Carinae, HR 2326, HD 45348, HIP 30438, TYC 8534-2277-1",06.23.57,-52.4144,-0.63,30.6,40.6,https://in-the-sky.org/data/object.php?id=TYC8534-2277-1
Rigil Kentaurus,"Rigil Kentaurus, α-Cen, Alpha Centauri, HR 5459, HD 128620, HIP 71683",14.39.40,-60.5006,-0.01,3710.0,277.3,https://in-the-sky.org/data/object.php?id=HIP71683
Vega,"Vega, α-Lyr, Alpha Lyrae, 3-Lyr, 3 Lyrae, HR 7001, HD 172167, HIP 91262",18.36.56,+38.4658,0.03,349.7,35.1,https://in-the-sky.org/data/object.php?id=HIP91262
Capella,"Capella, α-Aur, Alpha Aurigae, 13-Aur, 13 Aurigae, HR 1708, HD 34029, NSV 1897, HIP 24608",05.16.41,+45.5956,0.08,433.5,170.0,https://in-the-sky.org/data/object.php?id=HIP24608
Arcturus,"Arcturus, α-Boo, Alpha Bootis, 16-Boo, 16 Bootis, HR 5340, HD 124897, NSV 6603, HIP 69673, TYC 1472-1436-1",14.15.40,+19.1114,0.16,2280.0,208.7,https://in-the-sky.org/data/object.php?id=TYC1472-1436-1
Rigel,"Rigel, β-Ori, Beta Orionis, 19-Ori, 19 Orionis, HR 1713, HD 34085, NSV 1882, HIP 24436, TYC 5331-1752-1",05.14.32,-08.1205,0.28,1.4,69.1,https://in-the-sky.org/data/object.php?id=TYC5331-1752-1
Procyon,"Procyon, α-CMi, Alpha Canis Minoris, 10-CMi, 10 Canis Minoris, HR 2943, HD 61421, NSV 3672, HIP 37279",07.39.18,+05.1339,0.40,1260.0,214.6,https://in-the-sky.org/data/object.php?id=HIP37279
Achernar,"Achernar, α-Eri, Alpha Eridani, HR 472, HD 10144, HIP 7588, TYC 8478-1395-1",01.37.42,-57.1411,0.54,95.0,113.7,https://in-the-sky.org/data/object.php?id=TYC8478-1395-1
Betelgeuse,"Betelgeuse, α-Ori, Alpha Orionis, 58-Ori, 58 Orionis, HR 2061, HD 39801, HIP 27989, TYC 129-1873-1",05.55.10,+07.2425,0.57,29.8,67.7,https://in-the-sky.org/data/object.php?id=TYC129-1873-1
Hadar,"Hadar, β-Cen, Beta Centauri, HR 5267, HD 122451, HIP 68702, TYC 9005-3919-1",14.03.49,-60.2222,0.64,40.5,235.2,https://in-the-sky.org/data/object.php?id=TYC9005-3919-1
Altair,"Altair, α-Aql, Alpha Aquilae, 53-Aql, 53 Aquilae, HR 7557, HD 187642, HIP 97649, TYC 1058-3399-1",19.50.46,+08.5202,0.93,660.3,54.3,https://in-the-sky.org/data/object.php?id=TYC1058-3399-1
Aldebaran,"Aldebaran, α-Tau, Alpha Tauri, 87-Tau, 87 Tauri, HR 1457, HD 29139, HIP 21421, TYC 1266-1416-1",04.35.55,+16.3035,0.99,199.3,161.4,https://in-the-sky.org/data/object.php?id=TYC1266-1416-1
Spica,"Spica, α-Vir, Alpha Virginis, 67-Vir, 67 Virginis, HR 5056, HD 116658, HIP 65474, TYC 5547-1518-1",13.25.11,-11.0940,1.06,52.3,234.1,https://in-the-sky.org/data/object.php?id=TYC5547-1518-1
Antares,"Antares, α-Sco, Alpha Scorpii, 21-Sco, 21 Scorpii, HR 6134, HD 148478, HIP 80763, TYC 6803-2158-1",16.29.24,-26.2555,1.07,26.3,207.5,https://in-the-sky.org/data/object.php?id=TYC6803-2158-1
Pollux,"Pollux, β-Gem, Beta Geminorum, 78-Gem, 78 Geminorum, HR 2990, HD 62509, NSV 3712, HIP 37826, TYC 1920-2194-1",07.45.19,+28.0134,1.22,628.2,265.8,https://in-the-sky.org/data/object.php?id=TYC1920-2194-1
Fomalhaut,"Fomalhaut, α-PsA, Alpha Piscis Austrini, 24-PsA, 24 Piscis Austrini, HR 8728, HD 216956, NSV 14372, HIP 113368, TYC 6977-1267-1",22.57.38,-29.3718,1.23,367.9,116.6,https://in-the-sky.org/data/object.php?id=TYC6977-1267-1
