Common Name,Right Ascension (HH.MM.SS),Declination (DD.SS),"Magnitude (V, Visual)",Proper Motion RA (mas/yr),Proper Motion DEC (mas/yr),Alternative Names,URL
Tianyi,12.47.3434473,66.47250977,5.43,6.674,-6.498,"Tianyi, 7 Dra, BD+67°764, FK5 3020, HD 111335, HIP 62423, HR 4863, SAO 15902",https://en.wikipedia.org/wiki/7_Draconis
Mekbuda,07.04.0653079,20.34130739,3.93,-7.29,-0.41,"Mekbuda, ζ Gem, 43 Gem, BD+20°1687, FK5 269, HD 52973, HIP 34088, HR 2650, SAO 79031, WDS J07041+2034A",https://en.wikipedia.org/wiki/Zeta_Geminorum
Kurhah,22.03.47455,64.374071,4.2,215.46,91.06,"Kurhah, 17 Cephei, BD+63°1802, CCDM J22038+2407, HIP 108917, HR 8417, SAO 19827, WDS J22038+6438",https://en.wikipedia.org/wiki/Xi_Cephei
Ogma,16.30.2961858,38.20503090,8.15,-77.963,52.682,"Ogma, BD+38°2787, HD 149026, HIP 80838, SAO 65349, TOI-2024, TIC 255930614, GSC 03063-01587",https://en.wikipedia.org/wiki/HD_149026
Sika,19.22.52985,-32.550859,7.84,88.036,-415.197,"Sika, CD–33°14164, HD 181720, HIP 95262, SAO 211218, PPM 298918, LTT 7666, NLTT 47718, GCRV 69331, 2MASS J19225298-3255079",https://en.wikipedia.org/wiki/HD_181720
Illyrian,09.35.45184,34.465067,7.63,16.321,-35.251,"Illyrian, BD+35°2026, HD 82886, HIP 47087, SAO 61587",https://en.wikipedia.org/wiki/HD_82886
Sterrennacht,23.39.058103,42.2757505,10.47,-20.202,2.996,"Sterrennacht, BD+41 4831, TOI-1373, TIC 176899385, TYC 3239-992-1, GSC 03239-00992, 2MASS J23390581+4227575, HAT-P-6",https://en.wikipedia.org/wiki/HAT-P-6
Chara,12.33.4454425,41.21269214,4.25,-704.702,292.155,"Chara, β CVn, 8 CVn, BD+42 2321, FK5 470, GJ 475, HD 109358, HIP 61317, HR 4785, SAO 44230, NGC 4530",https://en.wikipedia.org/wiki/Beta_Canum_Venaticorum
Mira,02.19.2079210,-02.58394956,2.0,9.33,-237.36,"Stella Mira, Collum Ceti, Wonderful Star, ο Ceti, 68 Ceti, BD−03°353, HD 14386, HIP 10826, HR 681, LTT 1179, SAO 129825",https://en.wikipedia.org/wiki/Mira
Khambalia,14.19.0659235,-13.22159459,4.52,-15.91,28.92,"Khambalia, 100 Virginis, λ Vir, BD−12°4018, FK5 1371, HD 125337, HIP 69974, HR 5359, SAO 158489.",https://en.wikipedia.org/wiki/Lambda_Virginis
Asellus Borealis,08.43.1714820,21.28066008,4.673,-103.51,-39.48,"Asellus Borealis, γ Cnc, Gamma Cnc, 43 Cnc, BD+21° 1895, FK5 1228, GC 11982, HD 74198, HIP 42806, HR 3449, SAO 80378, CCDM 08433+2128",https://en.wikipedia.org/wiki/Gamma_Cancri
Titawin,01.36.5040476,41.23321228,4.10,-172.437,-383.824,"Titawin, 50 Andromedae, BD+40 332, CCDM 01367+4125, FK5 1045, GC 1948, GCTP 331.00, Gl 61, HD 9826, HIP 7513, HR 458, LTT 10561, SAO 37362, PPM 44216, WDS 01368+4124A, 2MASS J01364784+4124200, Gaia DR2 348020448377061376",https://en.wikipedia.org/wiki/Upsilon_Andromedae
Anser,19.28.423299,24.3953661,4.40,-126.197,-106.865,"Anser, α Vul, 6 Vulpeculae, BD+24°3759, FK5 1508, HD 183439, HIP 95771, HR 7405, SAO 87261, CCDM J19288+2442A, WDS J19287+2440A",https://en.wikipedia.org/wiki/Alpha_Vulpeculae
Belenos,01.25.1251573,28.34001030,7.12,251.270,-157.570,"Bélénos, BD+27°225, GC 1710, HD 8574, HIP 6643, SAO 74702, LTT 10508, NLTT 4709",https://en.wikipedia.org/wiki/HD_8574
Bubup,05.37.020168,-73.4157645,6.70,138.794,-108.499,"Bubup, CD−73°253, HD 38283, HIP 26380, SAO 256213, 2MASS J05370199-7341574",https://en.wikipedia.org/wiki/HD_38283
Meridiana,19.09.2834097,-37.54161022,4.102,84.87,-95.99,"Meridiana, α CrA, Alf CrA, CD−38°13350, FK5 718, GC 26360, HD 178253, HIP 94114, HR 7254, SAO 210990, IRAS 19060-3759, 2MASS J19092834-3754157",https://en.wikipedia.org/wiki/Alpha_Coronae_Australis
Segin,01.54.2373409,63.40123602,3.37,29.587,-18.387,"Segin, Epsilon Cas, ε Cas, 45 Cassiopeiae, BD+62 320, FK5 63, HD 11415, HIP 8886, HR 542, SAO 12031",https://en.wikipedia.org/wiki/Epsilon_Cassiopeiae
Dziban,17.41.5810460,72.09248581,5.82,34.89,-275.94,"Dziban, 31 Dra, ADS 10759 AB, Gliese 694.1",https://en.wikipedia.org/wiki/Psi1_Draconis
Pleione,03.49.112166,24.0812157,4.77,19.496,-47.650,"Pleione, 28 Tau, BU Tau, BD+23°558, GC 4587, HD 23862, HIP 17851, HR 1180, SAO 76229",https://en.wikipedia.org/wiki/Pleione_(star)
Salm,23.20.3824188,23.44252098,4.58,29.45,-9.53,"Salm, 62 Pegasi, BD+22°4810, FK5 880, GC 32503, HIP 115250, HR 8880, HD 220061, SAO 91186",https://en.wikipedia.org/wiki/Tau_Pegasi
Beemim,04.24.0221725,-34.01006542,3.96,73.77,56.70,"Beemim, υ3 Eri, d Eri, 43 Eridani, CD−34° 1664, FK5 1121, HD 28028, HIP 20535, HR 1393, SAO 194984.",https://en.wikipedia.org/wiki/Upsilon3_Eridani
Piautos,08.20.3213630,24.01203198,5.93,-20.29,-18.81,"Piautos, λ Cnc, 19 Cancri, BD+24° 1909, HD 70011, HIP 40881, HR 3268, SAO 80113",https://en.wikipedia.org/wiki/Lambda_Cancri
Nyamien,13.55.427120,-32.0934616,10.91,8.723,-22.328,"Nyamien, CD−31 10766, TOI-820, TIC 111991770, WASP-15, TYC 7283-1162-1, 2MASS J13554270-3209345",https://en.wikipedia.org/wiki/WASP-15
Angetenar,02.51.0232186,-21.00144654,4.78,-38.52,-16.05,"Angetenar, τ2 Eridani, 2 Eri, BD−21°509, HD 17824, HIP 13288, HR 850, SAO 168094.",https://en.wikipedia.org/wiki/Tau2_Eridani
Gumala,19.15.332301,-24.1045671,6.25,118.567,-102.364,"Gumala, V5652 Sgr, CD−24° 15161, GJ 749, HD 179949, HIP 94645, HR 7291, SAO 187883",https://en.wikipedia.org/wiki/HD_179949
