Common Name,Alternative Names,Right Ascension,Declination,Magnitude (Visual),"Proper Motion (Speed, mas/yr)","Proper Motion (Angle, Degrees)",URL,Proper Motion RA (mas/yr),Proper Motion DEC (mas/yr)
Sirius,"Sirius, α-CMa, Alpha Canis Majoris, 9-CMa, 9 Canis Majoris, HR 2491, HD 48915, HIP 32349",06.45.09,-16.4247,-1.44,1340.0,204.1,https://in-the-sky.org/data/object.php?id=HIP32349,-1223.1977974922775,-547.1628169110556
Canopus,"Canopus, α-Car, Alpha Carinae, HR 2326, HD 45348, HIP 30438, TYC 8534-2277-1",06.23.57,-52.4144,-0.63,30.6,40.6,https://in-the-sky.org/data/object.php?id=TYC8534-2277-1,23.233702004447352,19.91369104833504
Rigil Kentaurus,"Rigil Kentaurus, α-Cen, Alpha Centauri, HR 5459, HD 128620, HIP 71683",14.39.40,-60.5006,-0.01,3710.0,277.3,https://in-the-sky.org/data/object.php?id=HIP71683,471.4096979110098,-3679.92838200901
Vega,"Vega, α-Lyr, Alpha Lyrae, 3-Lyr, 3 Lyrae, HR 7001, HD 172167, HIP 91262",18.36.56,38.4658,0.03,349.7,35.1,https://in-the-sky.org/data/object.php?id=HIP91262,286.10695618353066,201.07933663953452
Capella,"Capella, α-Aur, Alpha Aurigae, 13-Aur, 13 Aurigae, HR 1708, HD 34029, NSV 1897, HIP 24608",05.16.41,45.5956,0.08,433.5,170.0,https://in-the-sky.org/data/object.php?id=HIP24608,-426.91416093079215,75.27648501861428
Arcturus,"Arcturus, α-Boo, Alpha Bootis, 16-Boo, 16 Bootis, HR 5340, HD 124897, NSV 6603, HIP 69673, TYC 1472-1436-1",14.15.40,19.1114,0.16,2280.0,208.7,https://in-the-sky.org/data/object.php?id=TYC1472-1436-1,-1999.8932532487427,-1094.9095741704703
Rigel,"Rigel, β-Ori, Beta Orionis, 19-Ori, 19 Orionis, HR 1713, HD 34085, NSV 1882, HIP 24436, TYC 5331-1752-1",05.14.32,-8.1205,0.28,1.4,69.1,https://in-the-sky.org/data/object.php?id=TYC5331-1752-1,0.4994331990474755,1.307886264049441
Procyon,"Procyon, α-CMi, Alpha Canis Minoris, 10-CMi, 10 Canis Minoris, HR 2943, HD 61421, NSV 3672, HIP 37279",07.39.18,5.1339,0.4,1260.0,214.6,https://in-the-sky.org/data/object.php?id=HIP37279,-1037.1518243533967,-715.4831187669076
Achernar,"Achernar, α-Eri, Alpha Eridani, HR 472, HD 10144, HIP 7588, TYC 8478-1395-1",01.37.42,-57.1411,0.54,95.0,113.7,https://in-the-sky.org/data/object.php?id=TYC8478-1395-1,-38.18503878231621,86.9879463672583
Betelgeuse,"Betelgeuse, α-Ori, Alpha Orionis, 58-Ori, 58 Orionis, HR 2061, HD 39801, HIP 27989, TYC 129-1873-1",05.55.10,7.2425,0.57,29.8,67.7,https://in-the-sky.org/data/object.php?id=TYC129-1873-1,11.307793553964354,27.57124960789631
Hadar,"Hadar, β-Cen, Beta Centauri, HR 5267, HD 122451, HIP 68702, TYC 9005-3919-1",14.03.49,-60.2222,0.64,40.5,235.2,https://in-the-sky.org/data/object.php?id=TYC9005-3919-1,-23.113899491219502,-33.256542969915
Altair,"Altair, α-Aql, Alpha Aquilae, 53-Aql, 53 Aquilae, HR 7557, HD 187642, HIP 97649, TYC 1058-3399-1",19.50.46,8.5202,0.93,660.3,54.3,https://in-the-sky.org/data/object.php?id=TYC1058-3399-1,385.3122618584444,536.2187528066596
Aldebaran,"Aldebaran, α-Tau, Alpha Tauri, 87-Tau, 87 Tauri, HR 1457, HD 29139, HIP 21421, TYC 1266-1416-1",04.35.55,16.3035,0.99,199.3,161.4,https://in-the-sky.org/data/object.php?id=TYC1266-1416-1,-188.89024411491044,63.56859034310533
Spica,"Spica, α-Vir, Alpha Virginis, 67-Vir, 67 Virginis, HR 5056, HD 116658, HIP 65474, TYC 5547-1518-1",13.25.11,-11.094,1.06,52.3,234.1,https://in-the-sky.org/data/object.php?id=TYC5547-1518-1,-30.667274257281786,-42.36517779531512
Antares,"Antares, α-Sco, Alpha Scorpii, 21-Sco, 21 Scorpii, HR 6134, HD 148478, HIP 80763, TYC 6803-2158-1",16.29.24,-26.2555,1.07,26.3,207.5,https://in-the-sky.org/data/object.php?id=TYC6803-2158-1,-23.328384912587236,-12.143988528081389
Pollux,"Pollux, β-Gem, Beta Geminorum, 78-Gem, 78 Geminorum, HR 2990, HD 62509, NSV 3712, HIP 37826, TYC 1920-2194-1",07.45.19,28.0134,1.22,628.2,265.8,https://in-the-sky.org/data/object.php?id=TYC1920-2194-1,-46.00823543557827,-626.5129545924046
Fomalhaut,"Fomalhaut, α-PsA, Alpha Piscis Austrini, 24-PsA, 24 Piscis Austrini, HR 8728, HD 216956, NSV 14372, HIP 113368, TYC 6977-1267-1",22.57.38,-29.3718,1.23,367.9,116.6,https://in-the-sky.org/data/object.php?id=TYC6977-1267-1,-164.73056841588334,328.9593437332035
Acrux,"Acrux, α¹-Cru, Alpha1 Crucis, HR 4730, HD 108248, HIP 60718, TYC 8979-3464-1",12.26.35,-63.0556,1.28,38.8,247.5,https://in-the-sky.org/data/object.php?id=TYC8979-3464-1,-14.848117175765472,-35.846525861437925
Mimosa,"Mimosa, β-Cru, Beta Crucis, HR 4853, HD 111123, HIP 62434, TYC 8659-3107-1",12.47.43,-59.4119,1.31,45.9,249.4,https://in-the-sky.org/data/object.php?id=TYC8659-3107-1,-16.149531661775814,-42.96513269041887
Deneb,"Deneb, α-Cyg, Alpha Cygni, 50-Cyg, 50 Cygni, HR 7924, HD 197345, HIP 102098, TYC 3574-3347-1",20.41.25,45.1649,1.33,2.7,47.4,https://in-the-sky.org/data/object.php?id=TYC3574-3347-1,1.8275651181431845,1.9874621352232829
Toliman,"α-Cen, Alpha Centauri, HR 5460, HD 128621, HIP 71681",14.39.39,-60.5022,1.35,3700.0,282.5,https://in-the-sky.org/data/object.php?id=HIP71681,800.8265715709791,-3612.2952263437537
Regulus,"Regulus, α-Leo, Alpha Leonis, 32-Leo, 32 Leonis, HR 3982, HD 87901, NSV 4750, HIP 49669, TYC 833-1381-1",10.08.22,11.5801,1.41,248.8,271.3,https://in-the-sky.org/data/object.php?id=TYC833-1381-1,5.644608592908047,-248.73596119948735
Adhara,"Adhara, ε-CMa, Epsilon Canis Majoris, 21-CMa, 21 Canis Majoris, HR 2618, HD 52089, HIP 33579, TYC 6535-3619-1",06.58.37,-28.5819,1.53,3.5,67.7,https://in-the-sky.org/data/object.php?id=TYC6535-3619-1,1.3280965583515179,3.2382340143502377
Castor,"Castor, YY Gem, α-Gem, Alpha Geminorum, 66-Gem, 66 Geminorum, HR 2891, HD 60179, HIP 36850, TYC 2457-2407-1, Gaia EDR3- 892348694913501952",07.34.35,31.5318,1.58,240.3,232.8,https://in-the-sky.org/data/object.php?id=TYC2457-2407-1,-145.28516730142863,-191.4061393012144
Shaula,"Shaula, λ-Sco, Lambda Scorpii, 35-Sco, 35 Scorpii, HR 6527, HD 158926, HIP 85927, TYC 7388-1093-1",17.33.36,-37.0613,1.63,32.0,195.5,https://in-the-sky.org/data/object.php?id=TYC7388-1093-1,-30.836174502675938,-8.551628034504217
Gacrux,"Gacrux, γ-Cru, Gamma Crucis, HR 4763, HD 108903, NSV 5672, HIP 61084, TYC 8654-3422-1",12.31.09,-57.0645,1.65,266.6,173.9,https://in-the-sky.org/data/object.php?id=TYC8654-3422-1,-265.0904959059124,28.330001418239817
Bellatrix,"Bellatrix, γ-Ori, Gamma Orionis, 24-Ori, 24 Orionis, HR 1790, HD 35468, NSV 1972, HIP 25336, TYC 113-1856-1",05.25.07,6.2059,1.66,15.2,212.2,https://in-the-sky.org/data/object.php?id=TYC113-1856-1,-12.862136125138976,-8.09971939627509
Miaplacidus,"Miaplacidus, β-Car, Beta Carinae, HR 3685, HD 80007, HIP 45238, TYC 9200-2603-1",09.13.12,-69.4302,1.67,190.7,304.8,https://in-the-sky.org/data/object.php?id=TYC9200-2603-1,108.83507735742114,-156.59315418179733
Elnath,"Elnath, β-Tau, Beta Tauri, 112-Tau, 112 Tauri, HR 1791, HD 35497, HIP 25428, TYC 1859-1470-1",05.26.17,28.3628,1.68,175.1,172.5,https://in-the-sky.org/data/object.php?id=TYC1859-1470-1,-173.60199522655418,22.85513625773103
Alnilam,"Alnilam, ε-Ori, Epsilon Orionis, 46-Ori, 46 Orionis, HR 1903, HD 37128, HIP 26311, TYC 4766-2450-1",05.36.12,-1.1206,1.72,1.6,118.4,https://in-the-sky.org/data/object.php?id=TYC4766-2450-1,-0.7609987345124406,1.4074377165865863
Alioth,"Alioth, ε-UMa, Epsilon Ursae Majoris, 77-UMa, 77 Ursae Majoris, HR 4905, HD 112185, HIP 62956, TYC 3845-1190-1",12.54.01,55.5735,1.76,112.2,94.2,https://in-the-sky.org/data/object.php?id=TYC3845-1190-1,-8.21732571772028,111.8986843445842
Alnair,"Alnair, α-Gru, Alpha Gruis, HR 8425, HD 209952, NSV 14040, HIP 109268, TYC 8438-1959-1",22.08.13,-46.5738,1.77,194.4,139.3,https://in-the-sky.org/data/object.php?id=TYC8438-1959-1,-147.3813149568236,126.76792970462823
Mirfak,"Mirfak, α-Per, Alpha Persei, 33-Per, 33 Persei, HR 1017, HD 20902, NSV 1125, HIP 15863, TYC 3320-2808-1",03.24.19,49.514,1.81,35.4,137.8,https://in-the-sky.org/data/object.php?id=TYC3320-2808-1,-26.224482708550948,23.778908862033852
Kaus Australis,"Kaus Australis, ε-Sgr, Epsilon Sagittarii, 20-Sgr, 20 Sagittarii, HR 6879, HD 169022, HIP 90185, TYC 7401-3471-1",18.24.10,-34.2303,1.81,130.3,197.6,https://in-the-sky.org/data/object.php?id=TYC7401-3471-1,-124.20074401342102,-39.3987967647829
Dubhe,"Dubhe, α-UMa, Alpha Ursae Majoris, 50-UMa, 50 Ursae Majoris, HR 4301, HD 95689, NSV 5070, HIP 54061, TYC 4146-1274-1",11.03.43,61.4504,1.82,138.5,255.5,https://in-the-sky.org/data/object.php?id=TYC4146-1274-1,-34.67763056154019,-134.0884481923679
Wezen,"Wezen, δ-CMa, Delta Canis Majoris, 25-CMa, 25 Canis Majoris, HR 2693, HD 54605, NSV 3424, HIP 34444, TYC 6532-5001-1",07.08.23,-26.2335,1.84,4.5,316.7,https://in-the-sky.org/data/object.php?id=TYC6532-5001-1,3.2749774094574464,-3.086182588173194
Sargas,"Sargas, θ-Sco, Theta Scorpii, HR 6553, HD 159532, NSV 9233, HIP 86228, TYC 7892-7679-1",17.37.19,-42.5952,1.86,6.4,119.4,https://in-the-sky.org/data/object.php?id=TYC7892-7679-1,-3.1417840231369016,5.575768391169213
Alkaid,"Alkaid, η-UMa, Eta Ursae Majoris, 85-UMa, 85 Ursae Majoris, HR 5191, HD 120315, NSV 6450, HIP 67301, TYC 3467-1257-1",13.47.32,49.1847,1.86,122.1,263.0,https://in-the-sky.org/data/object.php?id=TYC3467-1257-1,-14.880246829768469,-121.18988511540542
Atria,"Atria, α-TrA, Alpha Trianguli Australe, HR 6217, HD 150798, HIP 82273, TYC 9275-3641-1",16.48.39,-69.0139,1.9,36.3,150.3,https://in-the-sky.org/data/object.php?id=TYC9275-3641-1,-31.531323974106343,17.985149664096387
Alnitak,"Alnitak, ζ-Ori, Zeta Orionis, 50-Ori, 50 Orionis, HR 1948, HD 37742, NSV 2553, HIP 26727, TYC 4771-1188-1",05.40.45,-1.5633,1.9,3.8,57.5,https://in-the-sky.org/data/object.php?id=TYC4771-1188-1,2.0417385117179307,3.2048874940889656
