Common Name,Designation
Absolutno,XO-5
Acamar,HR 897
Achernar,HR 472
Achird,HR 219
Acrab,HR 5984
Acrux,HR 4730
Acubens,HR 3572
Adhafera,HR 4031
Adhara,HR 2618
Adhil,HR 390
Ain,HR 1409
Ainalrami,HR 7116
Aladfar,HR 7298
Alasia,HD 168746
Albaldah,HR 7264
Albali,HR 7950
Albireo,HR 7417
Alchiba,HR 4623
Alcor,HR 5062
Alcyone,HR 1165
Aldebaran,HR 1457
Alderamin,HR 8162
Aldhanab,HR 8353
Aldhibah,HR 6396
Aldulfin,HR 7852
Alfirk,HR 8238
Algedi,HR 7754
Algenib,HR 39
Algieba,HR 4057
Algol,HR 936
Algorab,HR 4757
Alhena,HR 2421
Alioth,HR 4905
Aljanah,HR 7949
Alkaid,HR 5191
Alkalurops,HR 5733
Alkaphrah,HR 3594
Alkarab,HR 8905
Alkes,HR 4287
Almaaz,HR 1605
Almach,HR 603
Alnair,HR 8425
Alnasl,HR 6746
Alnilam,HR 1903
Alnitak,HR 1948
Alniyat,HR 6084
Alphard,HR 3748
Alphecca,HR 5793
Alpheratz,HR 15
Alpherg,HR 437
Alrakis,HR 6370
Alrescha,HR 596
Alruba,HR 6618
Alsafi,HR 7462
Alsciaukat,HR 3275
Alsephina,HR 3485
Alshain,HR 7602
Alshat,HR 7773
Altair,HR 7557
Altais,HR 7310
Alterf,HR 3773
Aludra,HR 2827
Alula Australis,HR 4375
Alula Borealis,HR 4377
Alya,HR 7141
Alzirr,HR 2484
Amadioha,HD 43197
Amansinaya,WASP-34
Anadolu,WASP-52
Ancha,HR 8499
Angetenar,HR 850
Aniara,HD 102956
Ankaa,HR 99
Anser,HR 7405
Antares,HR 6134
Arcalis,HD 131496
Arcturus,HR 5340
Arkab Posterior,HR 7343
Arkab Prior,HR 7337
Arneb,HR 1865
Ascella,HR 7194
Asellus Australis,HR 3461
Asellus Borealis,HR 3449
Ashlesha,HR 3482
Aspidiske,HR 3699
Asterope,HR 1151
Atakoraka,WASP-64
Athebyne,HR 6132
Atik,HR 1131
Atlas,HR 1178
Atria,HR 6217
Avior,HR 3307
Axolotl,HD 224693
Ayeyarwady,HD 18742
Azelfafage,HR 8301
Azha,HR 874
Azmidi,HR 3045
Baekdu,HD 133086
Barnard's Star,GJ 699
Baten Kaitos,HR 539
Beemim,HR 1393
Beid,HR 1298
Belel,HD 181342
Belenos,HD 8574
Bellatrix,HR 1790
Berehynia,HAT-P-15
Betelgeuse,HR 2061
Bharani,HR 838
Bibha,HD 86081
Biham,HR 8450
Bosona,HD 206610
Botein,HR 951
Brachium,HR 5603
Bubup,HD 38283
Buna,HD 16175
Bunda,HR 8264
Canopus,HR 2326
Capella,HR 1708
Caph,HR 21
Castor,HR 2891
Castula,HR 265
Cebalrai,HR 6603
Ceibo,HD 63454
Celaeno,HR 1140
Cervantes,HR 6585
Chalawan,HR 4277
Chamukuy,HR 1412
Chaophraya,WASP-50
Chara,HR 4785
Chason,HAT-P-5
Chechia,HD 192699
Chertan,HR 4359
Citadelle,HD 1502
Citala,HD 52265
Cocibolca,HD 4208
Copernicus,HR 3522
Cor Caroli,HR 4915
Cujam,HR 6117
Cursa,HR 1666
Dabih,HR 7776
Dalim,HR 963
Deneb,HR 7924
Deneb Algedi,HR 8322
Denebola,HR 4534
Diadem,HR 4968
Dingolay,HD 96063
Diphda,HR 188
Diwo,WASP-17
Diya,WASP-72
Dofida,HD 117618
Dombay,HAT-P-3
Dschubba,HR 5953
Dubhe,HR 4301
Dziban,HR 6636
Ebla,HD 218566
Edasich,HR 5744
Electra,HR 1142
Elgafar,HR 5409
Elkurud,HR 2177
Elnath,HR 1791
Eltanin,HR 6705
Emiw,HD 7199
Enif,HR 8308
Errai,HR 8974
Fafnir,HR 6945
Fang,HR 5944
Fawaris,HR 7528
Felis,HR 3923
Felixvarela,BD-17 63
Flegetonte,HD 102195
Fomalhaut,HR 8728
Formosa,HD 100655
Franz,HAT-P-14
Fulu,HR 153
Fumalsamakah,HR 8773
Funi,HD 109246
Furud,HR 2282
Fuyue,HR 6630
Gacrux,HR 4763
Gakyid,HD 73534
Geminga,PSR B0633+17
Giausar,HR 4434
Gienah,HR 4662
Ginan,HR 4700
Gloas,WASP-13
Gomeisa,HR 2845
Grumium,HR 6688
Gudja,HR 5879
Gumala,HD 179949
Guniibuu,HR 6402
Hadar,HR 5267
Haedus,HR 1641
Hamal,HR 617
Hassaleh,HR 1577
Hatysa,HR 1899
Helvetios,HR 8729
Heze,HR 5107
Hoggar,HD 28678
Homam,HR 8634
Horna,HAT-P-38
Hunahpu,HD 98219
Hunor,HAT-P-2
Iklil,HR 5928
Illyrian,HD 82886
Imai,HR 4656
Inquill,HD 156411
Intan,HD 20868
Intercrus,HR 3743
Irena,WASP-38
Itonda,HD 208487
Izar,HR 5506
Jabbah,HR 6027
Jishui,HR 2930
Kaffaljidhma,HR 804
Kalausi,HD 83443
Kamuy,HD 145457
Kang,HR 5315
Karaka,HD 137388
Kaus Australis,HR 6879
Kaus Borealis,HR 6913
Kaus Media,HR 6859
Kaveh,HD 175541
Keid,HR 1325
Khambalia,HR 5359
Kitalpha,HR 8131
Kochab,HR 5563
Koeia,HIP 12961
Koit,XO-4
Kornephoros,HR 6148
Kraz,HR 4786
Kurhah,HR 8417
La Superba,HR 4846
Larawag,HR 6241
Lerna,HAT-P-42
Lesath,HR 6508
Libertas,HR 7595
Lich,PSR B1257+12
Liesma,HD 118203
Lilii Borea,HR 824
Lionrock,HD 212771
Lucilinburhuc,HD 45350
Lusitania,HD 45652
Maasym,HR 6526
Macondo,HD 93083
Mago,HD 32518
Mahasim,HR 2095
Mahsati,HD 152581
Maia,HR 1149
Malmok,WASP-39
Marfik,HR 6149
Markab,HR 8781
Markeb,HR 3734
Marohu,WASP-6
Marsic,HR 6008
Matar,HR 8650
Mazaalai,HAT-P-21
Mebsuta,HR 2473
Megrez,HR 4660
Meissa,HR 1879
Mekbuda,HR 2650
Meleph,HR 3429
Menkalinan,HR 2088
Menkar,HR 911
Menkent,HR 5288
Menkib,HR 1228
Merak,HR 4295
Merga,HR 5533
Meridiana,HR 7254
Merope,HR 1156
Mesarthim,HR 546
Miaplacidus,HR 3685
Mimosa,HR 4853
Minchir,HR 3418
Minelauva,HR 4910
Mintaka,HR 1852
Mira,HR 681
Mirach,HR 337
Miram,HR 834
Mirfak,HR 1017
Mirzam,HR 2294
Misam,HR 941
Mizar,HR 5054
Moldoveanu,XO-1
Monch,HD 130322
Montuno,WASP-79
Morava,WASP-60
Moriah,HAT-P-23
Mothallah,HR 544
Mouhoun,HD 30856
Mpingo,WASP-71
Muliphein,HR 2657
Muphrid,HR 5235
Muscida,HR 3323
Musica,HR 8030
Muspelheim,HAT-P-29
Nahn,HR 3627
Naledi,WASP-62
Naos,HR 3165
Nashira,HR 8278
Nasti,HD 68988
Natasha,HD 85390
Nekkar,HR 5602
Nembus,HR 464
Nenque,HD 6434
Nervia,HD 49674
Nganurganity,HR 2646
Nihal,HR 1829
Nikawiy,HD 136418
Nosaxa,HD 48265
Nunki,HR 7121
Nusakan,HR 5747
Nushagak,HD 17156
Nyamien,WASP-15
