Common Name,Right Ascension (HH.MM.SS),Declination (DD.SS),"Magnitude (V, Visual)",Proper Motion Speed (mas/yr),Proper Motion Angle (DD.SS),Proper Motion RA (mas/yr),Proper Motion DEC (mas/yr),Alternative Names,URL
Absolutno,07.46.519615,39.0540461,12.13,32.1609,221.974,-21.509,-23.91,"Absolutno, TOI-5373, TIC 9155187, GSC 02959-00729, 2MASS J07465196+3905404, UCAC2 45499774",https://en.wikipedia.org/wiki/XO-5
Acamar,02.58.15,-40.1816,3.22,57.1,293.8,-52.2442,23.0424,"Acamar, θ¹-Eri, Theta1 Eridani, HR 897, HD 18622, NSV 1002, HIP 13847, TYC 7563-1016-1, Gaia EDR3- 5044368071870093312",https://in-the-sky.org/data/object.php?id=TYC7563-1016-1
Achernar,01.37.42,-57.1411,0.54,95.0,113.7,86.9879,-38.185,"Achernar, α-Eri, Alpha Eridani, HR 472, HD 10144, HIP 7588, TYC 8478-1395-1",https://in-the-sky.org/data/object.php?id=TYC8478-1395-1
Achird,00.49.05,57.4859,3.46,1220.0,117.2,1085.088,-557.6595,"η-Cas, Eta Cassiopeiae, 24-Cas, 24 Cassiopeiae, HR 219, HD 4614, HIP 3821, TYC 3663-2669-1",https://in-the-sky.org/data/object.php?id=TYC3663-2669-1
Acrab,16.05.26,-19.4819,2.62,24.6,192.2,-5.1986,-24.0444,"Acrab, β¹-Sco, Beta1 Scorpii, 8-Sco, 8 Scorpii, HR 5984, HD 144217, NSV 7424, HIP 78820, TYC 6208-1623-1",https://in-the-sky.org/data/object.php?id=TYC6208-1623-1
Acrux,12.26.35,-63.0556,1.28,38.8,247.5,-35.8465,-14.8481,"Acrux, α¹-Cru, Alpha1 Crucis, HR 4730, HD 108248, HIP 60718, TYC 8979-3464-1",https://in-the-sky.org/data/object.php?id=TYC8979-3464-1
Acubens,08.58.292042,11.5127649,4.2,52.4422,216.4541,42.181,-31.16,"Acubens, Sertan, Sartan, α Cnc, Alpha Cancri, Alpha Cnc, 65 Cancri, 65 Cnc, BD+12 1948, FK5 337, GC 12406, HD 76756, HIP 44066, HR 3572, SAO 98267, PPM 125972, ADS 7115 A, CCDM J08585+1151A",https://en.wikipedia.org/wiki/Alpha_Cancri
Adhafera,10.16.41,23.2502,3.44,19.6,110.4,18.3707,-6.832,"Adhafera, ζ-Leo, Zeta Leonis, 36-Leo, 36 Leonis, HR 4031, HD 89025, NSV 4804, HIP 50335, TYC 1969-1261-1",https://in-the-sky.org/data/object.php?id=TYC1969-1261-1
Adhara,06.58.37,-28.5819,1.53,3.5,67.7,3.2382,1.3281,"Adhara, ε-CMa, Epsilon Canis Majoris, 21-CMa, 21 Canis Majoris, HR 2618, HD 52089, HIP 33579, TYC 6535-3619-1",https://in-the-sky.org/data/object.php?id=TYC6535-3619-1
Adhil,01.22.2042008,45.31435962,4.9,32.9411,74.101,31.681,9.024,"Adhil, ξ Andromedae, Xi And, ξ And, 46 Andromedae, BD+44 287, FK5 1035, HD 8207, HIP 6411, HR 390, SAO 37155, PPM 43919",https://en.wikipedia.org/wiki/Xi_Andromedae
Ain,04.28.37,19.1048,3.53,113.5,108.6,107.5717,-36.2019,"Ain, ε-Tau, Epsilon Tauri, 74-Tau, 74 Tauri, HR 1409, HD 28305, HIP 20889, TYC 1273-1104-1, Gaia EDR3- 48026706558487040",https://in-the-sky.org/data/object.php?id=TYC1273-1104-1
Ainalrami,18.54.1017695,-22.44414247,4.86,8.8901,241.1401,4.291,-7.786,"Ainalrami, ν1 Sgr, 32 Sgr, BD−22°4907, HD 174974, HIP 92761, HR 7116, SAO 187426, WDS J18542-2245",https://en.wikipedia.org/wiki/Nu1_Sagittarii
Aiolos,10.57.0302157,-68.40024492,7.36,43.092,17.3648,-41.128,12.861,"Aiolos, CD−68 847, HD 95086, HIP 53524, TYC 9212-4675-1, GSC 09212-04675, 2MASS J10570301-6840023",https://en.wikipedia.org/wiki/HD_95086
Aladfar,19.13.4548832,39.08454801,4.43,1.3956,205.4633,-0.6,-1.26,"Eta Lyr or η Lyr, 20 Lyr, BD+38°3490, HD 180163, HIP 94481, HR 7298, SAO 68010, WDS 19138+3909",https://en.wikipedia.org/wiki/Eta_Lyrae
Alasia,18.21.49783,-11.552165,7.95,72.1469,198.559,-22.963,-68.395,"Alasia, BD−11°4606, HD 168746, HIP 90004, SAO 161386, PPM 234431",https://en.wikipedia.org/wiki/HD_168746
Albaldah,19.09.45,-21.0125,2.9,36.8,182.1,-1.3485,-36.7753,"π-Sgr, Pi Sagittarii, 41-Sgr, 41 Sagittarii, HR 7264, HD 178524, NSV 11769, HIP 94141, TYC 6295-282-1, Gaia EDR3- 4082115215112774272",https://in-the-sky.org/data/object.php?id=TYC6295-282-1
Albali,20.47.40,-9.2945,3.76,48.7,135.8,33.9519,-34.9135,"Albali, ε-Aqr, Epsilon Aquarii, 2-Aqr, 2 Aquarii, HR 7950, HD 198001, HIP 102618, TYC 5760-1997-1, Gaia EDR3- 6903096911032851584",https://in-the-sky.org/data/object.php?id=TYC5760-1997-1
Albireo,19.30.43,27.5734,3.07,9.4,229.4,-7.1372,-6.1173,"Albireo, β¹-Cyg, Beta1 Cygni, 6-Cyg, 6 Cygni, HR 7417, HD 183912, NSV 12105, HIP 95947, TYC 2133-2964-1",https://in-the-sky.org/data/object.php?id=TYC2133-2964-1
Alchiba,12.08.2481727,-24.43439521,4.03,104.9104,202.4264,96.976,-40.023,"Alchiba, Al Minliar al Ghurab, Al Chiba, 1 Crv, CD−24°10174, GCTP 2796.00, GJ 455.3, GJ 9389, HD 105452, HIP 59199, HR 4623, SAO 180505",https://en.wikipedia.org/wiki/Alpha_Corvi
Alcor,13.25.1353783,54.59166548,3.99,121.2754,187.6003,120.21,-16.04,"g Ursae Majoris, 80 Ursae Majoris, BD+55 1603, CCDM J13240+5456D, GC 18155, HD 116842, HIP 65477, HR 5062, PPM 34021, SAO 28751, WDS J13239+5456C",https://en.wikipedia.org/wiki/Alcor_(star)
Alcyone,03.47.29,24.0617,2.88,47.8,156.1,19.3658,-43.7013,"Alcyone, η-Tau, Eta Tauri, 25-Tau, 25 Tauri, HR 1165, HD 23630, HIP 17702, TYC 1800-2202-1, Gaia EDR3- 66714384142368256",https://in-the-sky.org/data/object.php?id=TYC1800-2202-1
Aldebaran,04.35.55,16.3035,0.99,199.3,161.4,63.5686,-188.8902,"Aldebaran, α-Tau, Alpha Tauri, 87-Tau, 87 Tauri, HR 1457, HD 29139, HIP 21421, TYC 1266-1416-1",https://in-the-sky.org/data/object.php?id=TYC1266-1416-1
Alderamin,21.18.34,62.3507,2.47,158.4,71.9,150.5617,49.2111,"Alderamin, α-Cep, Alpha Cephei, 5-Cep, 5 Cephei, HR 8162, HD 203280, NSV 13660, HIP 105199, TYC 4252-1870-1",https://in-the-sky.org/data/object.php?id=TYC4252-1870-1
Aldhanab,21.53.55,-37.2153,2.98,99.0,97.7,98.1073,-13.2646,"γ-Gru, Gamma Gruis, HR 8353, HD 207971, HIP 108085, TYC 7494-1748-1",https://in-the-sky.org/data/object.php?id=TYC7494-1748-1
Aldhibah,17.08.47,65.4252,3.18,28.3,313.8,-20.4258,19.5877,"ζ-Dra, Zeta Draconis, 22-Dra, 22 Draconis, HR 6396, HD 155763, HIP 83895, TYC 4210-1048-1",https://in-the-sky.org/data/object.php?id=TYC4210-1048-1
Aldulfin,20.33.1277192,11.18117412,4.03,31.3417,247.5672,11.96,-28.97,"Aldulfin, ε Del, 2 Del, BD+10°4321, FK5 768, HD 195810, HIP 101421, HR 7852, SAO 106230",https://en.wikipedia.org/wiki/Epsilon_Delphini
Alfarasalkamil,23.01.55,42.1933,3.64,23.0,87.8,22.983,0.8829,"O-And, Omicron Andromedae, 1-And, 1 Andromedae, HR 8762, HD 217675, HIP 113726, TYC 3224-3434-1",https://in-the-sky.org/data/object.php?id=TYC3224-3434-1
Alfirk,21.28.39,70.3338,3.23,15.1,56.2,12.5479,8.4001,"Alfirk, β-Cep, Beta Cephei, 8-Cep, 8 Cephei, HR 8238, HD 205021, HIP 106032, TYC 4465-2643-1, Gaia EDR3- 2272185759996420992",https://in-the-sky.org/data/object.php?id=TYC4465-2643-1
Algedi,20.18.03,-12.3241,3.58,61.3,87.7,61.2506,2.4601,"Algedi, α²-Cap, Alpha2 Capricorni, 6-Cap, 6 Capricorni, HR 7754, HD 192947, HIP 100064, TYC 5749-2530-1, Gaia EDR3- 6880093650314169984",https://in-the-sky.org/data/object.php?id=TYC5749-2530-1
Algenib,00.13.14,15.11,2.84,10.7,177.4,0.4854,-10.689,"Algenib, γ-Peg, Gamma Pegasi, 88-Peg, 88 Pegasi, HR 39, HD 886, HIP 1067, TYC 1179-1775-1, Gaia EDR3- 2769202742740232960",https://in-the-sky.org/data/object.php?id=TYC1179-1775-1
Algieba,10.19.58,19.503,2.23,341.2,116.9,304.2813,-154.3707,"Algieba, γ¹-Leo, Gamma1 Leonis, 41-Leo, 41 Leonis, HR 4057, HD 89484, NSV 4823, HIP 50583, TYC 1423-1349-1",https://in-the-sky.org/data/object.php?id=TYC1423-1349-1
Algol,03.08.10,40.572,2.11,3.4,119.0,2.9737,-1.6484,"Algol, β-Per, Beta Persei, 26-Per, 26 Persei, HR 936, HD 19356, HIP 14576, TYC 2851-2168-1",https://in-the-sky.org/data/object.php?id=TYC2851-2168-1
