Star Name,Right Ascension (HH.MM.SS),Declination (DD.SS)
Acamar,10.36.43,-50.05477738834348
Achernar,08.37.28,-43.824598146272045
Acrab,02.57.54,16.257484771003945
Acrux,03.02.35,-40.78841220183688
Adhara,18.26.39,-72.72088218187217
Aldebaran,15.18.21,-21.835730459757883
Alderamin,14.56.38,61.547153405628315
Algieba,20.50.33,-7.525584986222087
Algol,14.58.07,8.092050549884272
Alhena,17.26.17,-28.296409717370487
Alioth,20.29.22,37.96294222588135
Alkaid,21.21.29,42.1650485030113
Almach,14.23.50,17.069847063391354
Alnilam,16.00.40,-43.574065622017486
Alnitak,16.06.12,-44.28653317051492
Alphard,21.19.48,-38.23547971287987
Alphecca,00.11.23,48.85811090814686
Alpheratz,12.35.06,25.98255616708131
Altair,07.32.29,51.18822833733805
Aludra,19.38.30,-71.5204241228529
Ankaa,09.12.30,-25.544585523563526
Antares,03.30.23,12.424235923837498
Arcturus,23.33.42,23.4119582716194
Arneb,15.21.32,-58.8122126963953
Ascella,05.50.00,14.904378756627173
Aspidiske,02.27.24,-62.75752419627644
Atria,04.45.45,-26.206606424090854
Avior,02.53.58,-69.15843289363922
Bellatrix,15.56.49,-35.798511491909665
Beta Hydri,07.16.35,-41.288505602578276
Beta Phoenicis,09.14.17,-35.133271749702736
Betelgeuse,16.34.28,-36.342836095268325
Canopus,06.54.12,-83.57268772259575
Capella,16.28.05,3.289968138592456
Caph,14.46.08,42.044127340201726
Castor,18.15.40,-12.702806898935702
Cebalrai,04.09.03,47.150645822105254
Celaeno,14.49.35,-9.7895616514739
Chara,21.29.27,26.3332189782613
Cor-Caroli,21.45.18,28.392981789670234
Cursa,15.14.16,-45.147583081554764
Delta Crucis,02.37.25,-40.26383197933398
Deneb,12.10.03,68.634408407693
Denebola,22.16.27,0.24212204880503763
Diphda,10.43.58,-12.73187429422876
Dschubba,02.58.54,13.113390132908593
Dubhe,19.30.20,29.000301951320893
Elnath,15.38.01,-10.87231442268634
Eltanin,20.35.39,80.79475070295034
Enif,09.39.15,36.692754180287324
Formalhaut,08.58.47,-3.883462135934137
Gacrux,02.33.48,-38.043212479557724
Gamma Phoenicis,09.37.27,-36.22613544768118
Gienah,00.03.53,-16.584019011064253
Hadar,03.20.21,-29.596075618683702
Hamal,13.35.01,3.030046376486265
Kochab,18.57.28,52.166737153790706
Kornephoros,01.36.25,53.9939981358652
Lesath,04.26.03,5.514590041165418
Markab,11.05.06,27.436907485724205
Megrez,20.10.19,34.09269229977992
Meissa,15.44.43,-51.588280549261306
Menkalinan,17.00.24,0.23782168808473178
Menkar,13.27.15,-20.90813910456748
Menkent,02.09.22,-14.240664972856932
Merak,19.44.41,25.762249252820293
Miaplacidus,03.50.06,-58.937645633984964
Mimosa,02.51.24,-36.950555518717344
Mintaka,15.56.31,-42.388812425027744
Mirach,13.33.11,20.248096667355235
Mirfak,15.27.57,14.040007360906056
Mirzam,16.55.04,-61.949576274166006
Mizar,20.43.22,41.348825426196235
Muphrid,23.25.54,25.070334503713465
Naos,22.42.45,-73.64635087821856
Navi,14.58.22,36.42143807789272
Nunki,05.43.14,18.375627187181
Peacock,06.27.21,-14.203775563488097
Phact,14.07.13,-73.8575419701917
Phecda,20.15.52,29.535685703300693
Polaris,17.25.11,45.08038305067079
Pollux,18.30.10,-17.034625907635483
Procyon,18.30.40,-40.62635399672549
Rasalhague,03.33.18,54.28692954897445
Rastaban,21.00.50,76.89200897987435
Regulus,21.05.47,-16.759533388616713
Rigel,15.18.12,-48.46525851460222
Ruchbah,15.09.44,33.76954415453504
Sabik,03.54.14,26.119159780457426
Sadr,11.02.51,70.48218329821381
Saiph,16.04.25,-52.315285307293095
Sargas,04.43.21,0.9346436623775081
Scheat,11.53.38,35.89563874395846
Schedar,14.35.38,36.31994178960794
Segin,15.28.30,32.470414949632
Seginus,22.36.40,44.65999669478533
Shaula,04.36.01,6.163880386059465
Sheratan,13.18.30,2.559423219614462
Sirius,17.08.35,-62.67483662780584
Spica,00.32.28,-0.152437285111338
Suhail,00.04.30,-63.54492176222943
Tarazed,07.18.49,52.16669300868333
Thuban,20.01.37,48.78239764695896
Unukalhai,01.37.23,35.99748243463663
Vega,05.38.21,83.6899118156341
Wezen,18.46.23,-69.95135920196289
Zosma,21.30.00,0.567833493309389
Zubeneschamali,01.54.18,18.738564170715744
