Common Name,Right Ascension (HH.MM.SS),Declination (DD.SS)
Absolutno,07.46.519615046768,39.05404648341896
Acamar,02.58.150013562964,-40.181604617669926
Achernar,01.37.420010417809,-57.14110498588086
Achird,00.49.500012947217,57.48589508427507
Acrab,16.05.260007064666,-19.481896125300352
Acrux,12.26.3500160934,-63.055595195993064
Acubens,08.58.292049476976,11.512766794230682
Adhafera,10.16.410005901852,23.250203329526745
Adhara,06.58.370016198879,-28.581900664602617
Adhil,01.22.204210897549,45.314354632975494
Ain,04.28.370006808484,19.104796462519378
Ainalrami,18.54.101774344882,-22.44414170957944
Aiolos,10.57.302185325553,-68.40024098481072
Aladfar,19.13.454902637033,39.084548346700096
Alasia,18.21.497837390885,-11.552163553634651
Albaldah,19.09.450005150456,-21.01249957629787
Albali,20.47.400007887287,-9.294501674286277
Albireo,19.30.430015986128,27.573399967771866
Alchiba,12.08.248184312413,-24.43439052776304
Alcor,13.25.13538773858,54.59167046851881
Alcyone,03.47.290006700152,24.06169589125028
Aldebaran,04.35.550007185695,16.30349657636393
Alderamin,21.18.340030038273,62.35069770914479
Aldhanab,21.53.550002392024,-37.21530294459732
Aldhibah,17.08.470031152712,65.42520286980589
Aldulfin,20.33.127731208594,11.18117274525685
Alfarasalkamil,23.01.550016240305,42.19329600648469
Alfirk,21.28.390038792381,70.33379751641895
Algedi,20.18.300007177448,-12.324101064224509
Algenib,00.13.140010785983,15.109995282561137
Algieba,10.19.580006615673,19.503003382416754
Algol,03.08.100005443621,40.57199546838277
Algorab,12.29.510010630865,-16.305695177282043
Alhena,06.37.420006334181,16.235698887494618
Alioth,12.54.100007070396,55.57350493098434
Aljanah,20.46.120017239283,33.581198355825215
Alkaid,13.47.320010839073,49.184704973390836
Alkalurops,15.24.294328817641,37.223780501572485
Alkaphrah,09.03.369997927954,47.09230199706363
Alkarab,23.25.227847379129,23.241471781742128
Alkes,10.59.464663719217,-18.175559074614657
Almaaz,05.01.580000639005,43.49229701008884
Almach,02.03.530008098467,42.19469506762192
Alnair,22.08.130000006138,-46.57380319001403
Alnasl,18.05.480003207144,-30.25259822346371
Alnilam,05.36.120009939642,-1.1206023622210284
Alnitak,05.40.450010024195,-1.5633022745139407
Alniyat,16.21.110005864718,-25.353396350283806
Alphard,09.27.350011269683,-8.392997536586247
Alphecca,15.34.410012830276,26.425104260339825
Alpheratz,00.08.230012031639,29.052595317990793
Alpherg,01.31.290009701426,15.20439501095697
Alrakis,17.05.20116320968,54.281228930883074
Alrescha,02.02.28198165915,2.4549491630819236
Alruba,17.43.59172967055,54.480618581584494
Alsafi,19.32.215943677341,69.39402351200147
Alsciaukat,08.22.501098828572,43.11172839623264
Alsephina,08.44.420025573727,-54.42299838669068
Alshain,19.55.180011034494,6.241599433818499
Alshat,20.20.398163355241,-12.45326955019355
Altair,19.50.460011519307,8.520199531975353
Altais,19.12.330038415437,67.39430036293582
Alterf,09.31.432280848094,22.580471581329103
Aludra,07.24.500016419115,-29.181100095845032
Alula Australis,11.18.109025791078,31.314502195538772
Alula Borealis,11.18.280005524536,33.0539041988928
Alya,18.56.130010587195,4.121300716347422
Alzirr,06.45.170007120028,12.534099049005881
Amadioha,06.13.356631651539,-29.535016776978434
Amansinaya,11.01.358990862215,-23.51383471064329
Anadolu,23.13.58758672377,8.45405305467349
Ancha,22.16.50037856534,-7.465987331968014
Angetenar,02.51.232197346013,-21.001451212172324
Aniara,11.51.225110951311,57.382668748947026
Ankaa,00.26.170006790133,-42.18210480223938
Anser,19.28.423314163925,24.3953661115545
Antares,16.29.240005553831,-26.2554964745657
Antinous,20.11.180009632296,-0.49170091058887705
Arcalís,14.53.230291141649,18.140751656744712
Arcturus,14.15.400010568172,19.111404887244756
Arkab Posterior,19.23.131372480183,-44.47592037901923
Arkab Prior,19.22.379998063899,-44.2731998562751
Arneb,05.32.430013029675,-17.492002428739273
Ascella,19.02.360002997519,-29.52479942143706
Asellus Australis,08.44.41000603165,18.091101612965495
Asellus Borealis,08.43.171475310747,21.280661584144987
Ashlesha,08.46.460008496122,6.250701655816686
Aspidiske,09.17.500027580981,-59.162997723338755
Asterope,03.45.544774292411,24.3316200518916
Atakoraka,06.44.276067920414,-32.51301889858116
Athebyne,16.23.590024843552,61.30520360788312
Atik,03.44.190005546388,32.17169585253567
Atlas,03.50.300006646892,24.031095928860708
Atria,16.48.389985871366,-69.01389678318435
Avior,08.22.300029360777,-59.303398850865925
Axólotl,23.59.538325071319,-22.25412624498327
Ayeyarwady,03.00.106575761827,-20.480942331615026
Azelfafage,21.42.56648012396,51.112261401536
Azha,02.56.250010400604,-8.535604632636746
Azmidi,07.49.170015172858,-24.513499564134396
Añañuca,09.44.298387544291,-45.46353998337981
Baekdu,14.56.483548876961,74.54033674948393
Bake-eo,17.47.53001019118,2.4225021352186533
Barnard's Star,17.57.484995284992,4.413613327998647
Baten Kaitos,01.51.270009941847,-10.200604965864976
Batsũ̀,22.41.581160624706,-69.10083578840886
Beemim,04.24.221740324024,-34.0100690220709
Beid,04.11.51940622243,-6.501532424967425
Belel,19.21.423052561577,-23.371044856076782
Bellatrix,05.26.100008614528,6.20589744771224
Berehynia,04.24.595352938947,39.27382770732224
Betelgeuse,05.55.100008338002,7.242498009138794
Bharani,02.49.590007613941,27.153695317195123
Bibhā,09.56.591863315872,-3.4830293317201892
Biham,22.10.110010712671,6.115196777184234
Bodu,18.01.304100876195,21.35448307355588
Bosona,21.43.249008464958,-7.242973757013598
Botein,03.11.377677908012,19.433597500438385
Brachium,15.04.400007457868,-25.16549543703388
Bubup,05.37.201725242521,-73.41576684040562
Buna,02.37.191124573542,42.03454207924902
Bunda,21.37.451108396243,-7.511515653428786
Bélénos,01.25.125167146825,28.340005311487573
Canopus,06.23.570024663385,-52.41440140212747
Capella,05.16.409999495965,45.59559727255452
Caph,00.09.100016579317,59.08999531212598
Castor,07.34.350002388341,31.53180011639441
Castula,00.56.399053867798,59.105175121018384
Cebalrai,17.43.280010547095,4.340402221717053
Ceibo,07.39.218595817954,-78.16443055958634
Celaeno,03.44.482160736382,24.172205158437293
Cervantes,17.45.27031019684,-51.5002569770357
Chalawan,10.59.279731569339,40.254896061309644
Chamukuy,04.28.390007387801,15.521496463031147
Chaophraya,02.54.45135254513,-10.535307145967867
Chara,12.33.445449718687,41.21269698373359
Chasoň,18.17.37314512535,36.37171853378681
Chechia,20.17.388623472,4.345084967687881
Chertan,11.14.140007919043,15.2545041484016
Citadelle,00.19.170670632614,14.031707541321138
Citalá,07.00.180370818622,-5.220178628252867
Cocibolca,00.44.266515283759,-26.305650444296116
Copernicus,08.52.408630734711,28.19588387670963
Cor Caroli,12.56.100008378848,38.19070493743297
Cujam,16.25.249554311401,14.015980696271882
Cursa,05.07.510010596599,-5.051002886403488
Dabih,20.21.6722767,-14.46530111733226
Dalim,03.12.400012579741,-28.592004489759525
Danfeng,23.21.152450728419,-60.03546870135741
Deltoton,02.17.323024035213,34.132717721116556
Deneb,20.41.250021184356,45.16489845449179
Deneb Algedi,21.47.200006890631,-16.074202827702198
Denebola,11.49.300008442658,14.342004524249317
Diadem,13.09.592859420189,17.314608971696774
Dilmun,07.10.240624016187,-39.055057529579
Dingolay,11.04.444558517448,-2.304754979933304
Diphda,00.43.35000898208,-17.5912048906222
Diya,02.45.36097200372,-30.100861084864125
Dofida,13.32.255563853611,-47.16168592120033
Dombay,13.44.225947611681,48.01432557839959
Dschubba,16.00.200006714355,-22.371696056320197
Dubhe,11.03.429996679335,61.45040401688125
Dziban,17.41.581088804464,72.09248806087312
Dìwö,15.59.509497838347,-28.034227349872378
Ebla,23.09.10727957493,-2.1538726262633645
Edasich,15.24.550019210916,58.575804367093646
Electra,03.44.520006750201,24.064695859203166
Elgafar,14.28.121399019792,-2.1340609649462237
Elkurud,06.07.316339835655,-37.15105288134938
Elnath,05.26.170004177087,28.36279744989492
Eltanin,17.56.360023471318,51.29200196221038
Emiw,01.10.472221459251,-66.1117439831256
Enif,21.44.110011403804,9.522997229061083
Errai,23.39.200034399647,77.37559557347633
Fafnir,18.25.591404422292,65.33485448954332
Fang,15.58.510006175595,-26.065096036622442
Fawaris,19.44.580021710775,45.075099657819855
Felis,09.54.522058052242,-19.003359038672812
Felixvarela,00.28.343068827144,-16.13348881551277
Filetdor,09.39.300313523628,-20.585668314410448
Flegetonte,11.45.422937305866,2.491737108800447
Fomalhaut,22.57.380005593354,-29.37180393692447
Formosa,11.35.375327630597,20.262960688704382
Franz,17.20.278877691232,38.143182858145096
Fulu,00.36.580013396756,53.534795139915666
Fumalsamakah,23.03.52614506623,3.4912126010508113
Funi,12.33.155999437103,74.29228484120479
Furud,06.20.180016345559,-30.034801478204383
Fuyue,17.49.510001538304,-37.023497903554684
Gacrux,12.32.300014262682,-57.064495162822645
Gakyid,08.39.158037186236,12.573736500869355
Gar,12.47.566255076158,9.45050847852015
Garnet Star,21.43.304634992462,58.464813841304526
Geminga,06.33.541506076,17.461288807061397
Giausar,11.31.239994234503,69.19510434420485
Gienah,12.15.480010909709,-17.323095264665238
Ginan,12.21.210015846335,-60.240195228001625
Gloas,09.20.247147715277,33.52567192646585
Gnomon,10.19.380100105541,-9.482257202918884
Gomeisa,07.28.300008013774,8.172099983971707
Grumium,17.53.310026283353,56.522202023745514
Guahayona,14.12.37534099224,4.033616560135043
Gudja,15.48.44378396899,18.082967463172945
Gumala,19.15.332305385379,-24.104566802312483
Guniibuu,17.15.208514783546,-26.36090124825028
Hadar,14.03.490006587709,-60.22219506740357
Haedus,05.06.300001236698,41.14029708967481
Hamal,02.07.100008884778,23.274495078892336
Hassaleh,04.56.590003588489,33.095696923953696
Hatysa,05.35.250010755103,-5.543502377227785
Helvetios,22.57.279817480363,20.460775765309666
Heng,13.49.300008800769,-41.41159503020657
Heze,13.34.410009731573,-0.35449501212631696
Hoerikwaggo,06.10.144776337333,-74.4510975358597
Hoggar,04.31.254509084173,4.343106505884295
Homam,22.41.270011216118,10.495296289128381
Honores,23.12.330057536664,49.24223087206882
Horna,02.21.319811531209,32.14460447004943
Hunahpú,11.17.475543169643,-23.583145499051838
Hunor,16.20.363592817665,41.025314358274514
Iklil,15.56.530005726431,-29.125096010762423
Illyrian,09.35.451842735229,34.46506961647932
Imai,12.16.200015831764,-58.445595261020934
Inquill,17.19.514005568671,-48.32575333066128
Intan,03.20.426950529,-33.43484176062617
Intercrus,09.28.399885916928,45.360535593891434
Irena,16.15.503664438791,10.015732158038258
Itonda,21.57.19847780955,-37.45490780426862
Izar,14.44.592191717065,27.04272471922359
Jabbah,16.11.597407003433,-19.27382621687714
Jishui,07.40.393467559763,34.35035052849831
Kaewkosin,07.59.583959501885,15.232924277135657
Kaffaljidhma,02.43.18000952466,3.1409952689855536
Kaffalmusalsala,23.40.245095057295,44.20021156272663
Kalausi,09.37.118294257639,-43.161990756805224
Kamuy,16.10.391453589501,26.443393122122842
Kang,14.12.537463126906,-10.162528500975336
Karaka,15.35.399183695093,-80.12164975082513
Kaus Australis,18.24.100001912527,-34.23029860239943
Kaus Borealis,18.27.580004285992,-25.252098682001407
Kaus Media,18.20.590003258381,-29.49409853601014
Kaveh,18.55.408852094015,4.155517237877349
Keid,04.15.16313038275,-7.391036816238233
Khambalia,14.20.59244114091,-13.221589723081378
Kitalpha,21.15.490010697028,5.145197762492267
Kochab,14.50.420024354653,74.09190467739784
Koeia,02.46.428880423282,-23.051184906882288
Koit,07.21.331592461322,58.160510832760615
Komondor,13.57.334680123909,43.293665151235466
Kornephoros,16.30.130013047274,21.292203512831414
Kosjenka,06.17.207503693913,-38.19237693950465
Kraz,12.34.230010952028,-23.234895152939643
Kui,00.57.124010449987,23.2503490593622
Kulou,13.20.350010066864,-36.424395014272754
Kurhah,22.03.474579132107,64.37406816465722
La Superba,12.46.18260748281,45.262497901999026
Lang-Exster,22.18.299994301957,-60.1534033588759
Larawag,16.51.300003454373,-34.17349683085828
Leepwal,13.55.32000825431,-47.17169504352525
Lerna,09.01.226500359103,6.055015821865755
Lesath,17.30.450001839536,-37.17439753395168
Libertas,19.54.148826464309,8.274122956577783
Lich,13.00.310759404146,12.405520450163271
Liesma,13.34.253950098671,53.43427478800497
Lilii Borea,02.47.545421686001,29.144956621804152
Lionrock,22.27.307207100039,-17.154919901313477
Lucilinburhuc,06.28.457111313612,38.57466534870544
Lusitânia,06.29.131927577122,10.560199298333822
Maasym,17.30.44311282453,26.06383486626587
Macondo,10.44.20916502523,-33.34372504724663
Mago,05.09.367183632289,69.38218214496914
Mahasim,05.59.430001351889,37.124598100350575
Mahsati,16.53.435837392496,11.582552078947058
Maia,03.45.490006709911,24.220295870775917
Malmok,14.29.184009556387,-3.2639951811197983
Marfik,16.30.548241370107,1.5902155920393055
Markab,23.04.45001164085,15.121895969816656
Markeb,09.23.24772547,-55.003797623840924
